id,tier,original_option,new_option
r13_inst_los_a_q2,B,(1) Scale (asset size); (2) Long-term investment horizon; (3) Regulatory frameworks; (4) Governance framework; (5) Principal-agent issues.,(1) Scale (asset size); (2) Long-term investment horizon.
r13_inst_los_a_q4,B,diseconomies of scale — may be unable to invest in niche investments like venture capital (VC) where small allocations may not generate sufficient returns to justify due diligence costs; some strategies are capacity constrained; large trading orders incur market impact costs.,diseconomies of scale — may be unable to invest in niche investments like venture capital (VC) where small allocations may not generate sufficient returns to justify due diligence costs.
r13_inst_los_a_q5,B,are around 5% or less — with net payouts typically modest as percent of AUM; but exceptions exist: frozen defined benefit plans might be in a de-risking mode that increases liquidity needs.,are around 5% or less — with net payouts typically modest as percent of AUM.
r13_inst_los_a_q6,B,tend to be much more asset/liability focused while operating within tight regulations designed to ensure adequacy of capital — vs pensions/endowments/SWFs which are more asset-focused with liability considerations less central.,tend to be much more asset/liability focused while operating within tight regulations designed to ensure adequacy of capital.
r13_inst_los_a_q7,A,"1970s domestic fixed income → 1980s 60% equity/40% FI → 1990s international equity markets → 21st century increased alternative assets (PE, HF, RE, other illiquid); pensions have moved to LDI; SWFs innovated with active management; endowments adopted Endowment Model.",21.
r13_inst_los_a_q8,B,"one person (the agent) makes decisions on behalf of another (the principal) and their interests are not aligned — internal agents include investment committee members and staff; external agents include third-party asset managers, broker/dealers, consultants, and board members.",one person (the agent) makes decisions on behalf of another (the principal) and their interests are not aligned — internal agents include investment committee members and staff.
r13_inst_los_a_q9,B,high base fees due regardless of fund performance give little incentive for the fund manager to produce superior performance — such arrangements are common among hedge funds and have led to greater demand for fee transparency and alignment of interest between hedge fund managers and their clients.,high base fees due regardless of fund performance give little incentive for the fund manager to produce superior performance.
r13_inst_los_b_q1,B,"mission, investment objectives, and guidelines — plus asset allocation policy with ranges and asset class benchmarks, rebalancing policy, guidelines affecting implementation, and reporting requirements; helps minimize principal-agent challenges.","mission, investment objectives, and guidelines — plus asset allocation policy with ranges and asset class benchmarks, rebalancing policy, guidelines affecting implementation, and reporting requirements."
r13_inst_los_b_q3,B,DB pension funds: surplus volatility (SD of asset returns in excess of liability returns); SWFs: probability of losses or of not maintaining purchasing power over a time period; endowments/foundations: volatility of total returns; banks/insurers: VaR or CVaR and scenario-based stress tests.,DB pension funds: surplus volatility (SD of asset returns in excess of liability returns).
r13_inst_los_b_q4,B,"almost exclusive reliance on public equities and fixed income (traditional 60/40), largely passively managed, tight tracking error limits, very little to no alternatives; advantages: low cost/fees, transparent, low manager selection risk; disadvantage: limited value-added.","almost exclusive reliance on public equities and fixed income (traditional 60/40), largely passively managed, tight tracking error limits, very little to no alternatives."
